City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,aldama,22.9167,-98.0667,24.890000000000043,91,0,1.36,MX,2024-08-28
132,washington,47.5001,-120.5015,11.870000000000005,59,0,2.72,US,2024-08-28
133,pembroke,45.8168,-77.1162,17.879999999999995,85,97,5.36,CA,2024-08-28
134,port elizabeth,-33.918,25.5701,10.730000000000018,67,0,10.8,ZA,2024-08-28
135,chulakkurgan,43.765,69.1814,24.090000000000032,31,83,6.21,KZ,2024-08-28
136,sassandra,4.95,-6.0833,23.170000000000016,92,100,3.25,CI,2024-08-28
137,phayakkhaphum phisai,15.5163,103.1937,34.120000000000005,58,71,2.86,TH,2024-08-28
138,labrador city,52.9463,-66.9114,10.100000000000023,77,75,6.17,CA,2024-08-28
139,elk city,35.412,-99.4043,26.99000000000001,50,0,3.09,US,2024-08-28
140,moores mill,34.844,-86.5183,24.430000000000007,69,0,0.45,US,2024-08-28
141,haiku-pauwela,20.9219,-156.3051,24.590000000000032,77,40,7.72,US,2024-08-28
142,port-vila,-17.7338,168.3219,24.78000000000003,61,75,7.72,VU,2024-08-28
143,margaret river,-33.95,115.0667,17.07000000000005,65,90,8.15,AU,2024-08-28
144,happy valley-goose bay,53.3168,-60.3315,17.170000000000016,88,100,3.09,CA,2024-08-28
145,santa cruz de tenerife,28.4682,-16.2546,23.120000000000005,88,75,8.75,ES,2024-08-28
146,kavieng,-2.5744,150.7967,28.140000000000043,78,95,4.9,PG,2024-08-28
147,la passe,45.5549,-0.8967,17.25,50,12,3.02,FR,2024-08-28
148,le port,-20.9373,55.2919,23.27000000000004,83,61,4.25,RE,2024-08-28
149,jincheng,35.5022,112.8328,27.80000000000001,33,22,1.72,CN,2024-08-28
150,uturoa,-16.7333,-151.4333,25.27000000000004,76,74,6.26,PF,2024-08-28
151,qaqortoq,60.7167,-46.0333,5.060000000000002,87,100,2.71,GL,2024-08-28
152,yellowknife,62.456,-114.3525,15.79000000000002,97,100,5.14,CA,2024-08-28
153,tiksi,71.6872,128.8694,4.010000000000048,74,95,5.05,RU,2024-08-28
154,port lincoln,-34.7333,135.8667,15.160000000000025,56,6,9.02,AU,2024-08-28
155,saddiqabad,28.3062,70.1307,30.890000000000043,63,99,7.42,PK,2024-08-28
156,neryungri,56.6709,124.6491,10.950000000000045,92,98,3.49,RU,2024-08-28
157,dudinka,69.4058,86.1778,13.82000000000005,85,100,2.23,RU,2024-08-28
158,lebu,-37.6167,-73.65,6.580000000000041,87,23,6.37,CL,2024-08-28
159,richfield,44.8833,-93.283,21.30000000000001,86,100,4.12,US,2024-08-28
160,pangody,65.85,74.4859,17.860000000000014,68,87,4.8,RU,2024-08-28
161,mahina,-17.5065,-149.489,24.870000000000005,69,40,2.06,PF,2024-08-28
162,urangan,-25.3,152.9,20.54000000000002,85,1,5.64,AU,2024-08-28
163,saint-philippe,-21.3585,55.7679,20.32000000000005,70,52,7.53,RE,2024-08-28
164,vecvarkava,56.1833,26.5167,13.580000000000041,75,44,1.84,LV,2024-08-28
165,mitu,1.1983,-70.1733,23.100000000000023,82,90,0.75,CO,2024-08-28
166,rio grande,-32.035,-52.0986,10.860000000000014,88,0,1.26,BR,2024-08-28
167,tam ky,15.5667,108.4833,35.5,39,100,3.48,VN,2024-08-28
168,lupane,-18.9315,27.807,15.450000000000045,33,0,0.99,ZW,2024-08-28
169,aswan,24.0934,32.907,34.610000000000014,26,0,2.57,EG,2024-08-28
170,atasu,48.6814,71.6433,17.220000000000027,50,100,4.9,KZ,2024-08-28
171,hithadhoo,-0.6,73.0833,28.090000000000032,76,24,4.43,MV,2024-08-28
172,freetown,8.484,-13.2299,24.83000000000004,92,100,5.06,SL,2024-08-28
173,alofi,-19.0595,-169.9187,22.939999999999998,78,75,3.09,NU,2024-08-28
174,carnarvon,-24.8667,113.6333,22.590000000000032,59,0,4.14,AU,2024-08-28
175,livingstonia,-10.606,34.1063,18.810000000000002,75,27,1.75,MW,2024-08-28
176,college,64.8569,-147.8028,14.990000000000009,73,75,1.54,US,2024-08-28
177,kyaikto,17.3,97.0167,28.189999999999998,78,100,2.55,MM,2024-08-28
178,san patricio,28.017,-97.5169,27.970000000000027,68,6,3.7,US,2024-08-28
179,kapenguria,1.2511,35.0895,15.850000000000023,77,4,1.19,KE,2024-08-28
180,veseloyarsk,51.2836,81.1056,20.83000000000004,40,20,3.76,RU,2024-08-28
181,sao jose da coroa grande,-8.8978,-35.1478,23.210000000000036,82,38,4.97,BR,2024-08-28
182,laoang,12.5,125.0167,33.30000000000001,55,69,3.95,PH,2024-08-28
183,watampone,-4.5386,120.3279,30.560000000000002,51,49,4.78,ID,2024-08-28
184,port shepstone,-30.7414,30.455,19.27000000000004,71,13,7.96,ZA,2024-08-28
185,formosa do rio preto,-11.0483,-45.1931,22.29000000000002,39,1,2.99,BR,2024-08-28
186,anqing,30.5092,117.0506,24.180000000000007,91,100,0.26,CN,2024-08-28
187,sao joao da barra,-21.6403,-41.0511,16.210000000000036,80,4,4.04,BR,2024-08-28
188,kuching,1.55,110.3333,31.120000000000005,70,40,3.09,MY,2024-08-28
189,sinabang,2.4803,96.3801,29.379999999999995,62,100,2.3,ID,2024-08-28
190,hasaki,35.7333,140.8333,28.470000000000027,73,66,4.61,JP,2024-08-28
191,korla,41.7597,86.1469,33.82000000000005,20,89,4.58,CN,2024-08-28
192,ofunato,39.0717,141.7167,23.75,98,100,1.7,JP,2024-08-28
193,altamira,-3.2033,-52.2064,23.99000000000001,69,19,1.59,BR,2024-08-28
194,iscar,41.3434,-4.5246,17.140000000000043,30,15,1.44,ES,2024-08-28
195,baker city,44.7749,-117.8344,12.840000000000032,38,0,6.17,US,2024-08-28
